,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop
0,USA,"24,632,292","+5,851","408,683 ",+60,"14,554,179","+2,493","9,669,430","28,553","74,178","1,231"
1,India,"10,582,647",,"152,593 ",,"10,228,753",+901,"201,301","8,944","7,627",110
2,Brazil,"8,512,238",,"210,328 ",,"7,452,047",,"849,863","8,318","39,890",986
3,Russia,"3,612,800","+21,734","66,623 ",+586,"3,002,026","+23,262","544,151","2,300","24,750",456
4,UK,"3,433,494",,"89,860 ",,"1,546,575",,"1,797,059","3,789","50,431","1,320"
5,France,"2,914,725",,"70,686 ",,"210,200",,"2,633,839","2,813","44,600","1,082"
6,Turkey,"2,392,963",,"24,161 ",,"2,270,769",,"98,033","2,183","28,207",285
7,Italy,"2,390,101",,"82,554 ",,"1,760,489",,"547,058","2,544","39,563","1,367"
8,Spain,"2,336,451",,"53,769 ",,N/A,N/A,N/A,"3,287","49,962","1,150"
9,Germany,"2,059,983",+669,"48,196 ",+91,"1,716,200","+24,500","295,587","5,074","24,544",574
10,Colombia,"1,923,132",,"49,004 ",,"1,754,222",,"119,906","3,482","37,575",957
11,Argentina,"1,807,428",,"45,832 ",,"1,594,768",,"166,828","3,564","39,790","1,009"
12,Mexico,"1,649,502","+8,074","141,248 ",+544,"1,237,321","+14,213","270,933","5,359","12,720","1,089"
13,Poland,"1,443,804","+4,835","33,698 ",+291,"1,197,034","+9,315","213,072","1,582","38,172",891
14,South Africa,"1,346,936",,"37,449 ",,"1,117,452",,"192,035",546,"22,555",627
15,Iran,"1,342,134","+5,917","56,973 ",+87,"1,131,883","+6,384","153,278","4,272","15,868",674
16,Ukraine,"1,167,655","+3,939","21,046 ",+177,"886,248","+15,052","260,361",177,"26,788",483
17,Peru,"1,068,802",,"38,931 ",,"984,726",,"45,145","1,670","32,170","1,172"
18,Indonesia,"927,380","+10,365","26,590 ",+308,"753,948","+8,013","146,842",,"3,371",97
19,Netherlands,"921,580","+4,272","13,162 ",+106,N/A,N/A,N/A,683,"53,718",767
20,Czechia,"899,503","+7,590","14,646 ",+74,"750,376",+502,"134,481","1,089","83,909","1,366"
21,Canada,"715,072",,"18,120 ",,"623,033",,"73,919",870,"18,855",478
22,Romania,"697,898","+2,745","17,369 ",+98,"630,236","+4,787","50,293","1,050","36,412",906
23,Belgium,"679,771",+932,"20,472 ",+37,"46,959",,"612,340",352,"58,513","1,762"
24,Chile,"677,151","+3,401","17,573 ",+26,"634,960","+4,142","24,618","1,081","35,257",915
25,Iraq,"609,852",+823,"12,962 ",+9,"573,011","+1,813","23,879",134,"14,979",318
26,Israel,"562,619","+4,370","4,060 ",+16,"477,309","+3,737","81,250","1,174","61,170",441
